date,equity
2026-01-18,2948.7075312283255
2026-01-19,2907.9243845410324
2026-01-20,3034.8037763959123
2026-01-21,3002.9229531125466
2026-01-22,3000.3662725278127
2026-01-23,2999.1275335658956
2026-01-24,3010.8845728042197
2026-01-25,3086.7999728222767
2026-01-26,3036.112606208183
2026-01-27,3011.1287225996184
2026-01-28,3008.6764773819114
2026-01-29,3146.928810615177
2026-01-30,3159.8757588563385
2026-01-31,3324.581079921582
2026-02-01,3373.8255095630616
2026-02-02,3322.5580243442073
2026-02-03,3413.925653231234
2026-02-04,3492.0937731796575
2026-02-05,3800.64619597148
2026-02-06,3565.7900968755175
2026-02-07,3603.8723249620075
2026-02-08,3574.4825305002114
2026-02-09,3578.787276892766
2026-02-10,3618.4664081864803
2026-02-11,3672.3557584808973
2026-02-12,3695.386677362441
2026-02-13,3616.555965242007
2026-02-14,3589.3485662240564
2026-02-15,3618.639065314518
2026-02-16,3616.995201237557
2026-02-17,3657.3357565224424
2026-02-18,3689.3016233709036
2026-02-19,3665.151846876505
2026-02-20,3709.0930483253323
2026-02-21,3709.179030871536
2026-02-22,3727.05691123315
2026-02-23,3885.0131350692204
2026-02-24,3912.875130241675
2026-02-25,3700.8703189347298
2026-02-26,3674.6506277106064
2026-02-27,3583.021738022667
2026-02-28,3525.351229042756
2026-03-01,3590.4602630694235
2026-03-02,3422.982186972081
2026-03-03,3400.1617265020313
2026-03-04,3609.194733769627
2026-03-05,3520.7220986334005
2026-03-06,3383.0604269401965
2026-03-07,3423.8879368934295
2026-03-08,3485.4583576767704
2026-03-09,3360.848671958574
2026-03-10,3432.0752375411826
2026-03-11,3445.0615908798636
2026-03-12,3458.543979919022
2026-03-13,3480.7268862446176
2026-03-14,3492.2368124983623
2026-03-15,3565.83442142924
2026-03-16,3662.599708076358
2026-03-17,3618.7478161509007
2026-03-18,3483.7194970059463
2026-03-19,3545.7502289046984
2026-03-20,3507.439595406361
2026-03-21,3421.7908255164166
2026-03-22,3380.821173742785
2026-03-23,3525.99099127612
2026-03-24,3497.2238491898124
2026-03-25,3459.8366815362997
2026-03-26,3568.7439763854604
2026-03-27,3689.882381840824
2026-03-28,3690.8047613611157
2026-03-29,3708.8168158077565
2026-03-30,3672.4482130158462
2026-03-31,3596.312746790351
2026-04-01,3603.954493305386
2026-04-02,3662.714427965245
2026-04-03,3660.6142882293743
2026-04-04,3642.866872992654
2026-04-05,3549.173505784636
2026-04-06,3533.107076061696
2026-04-07,3372.561862775506
2026-04-08,3326.6250063003063
2026-04-09,3297.933478748808
2026-04-10,3244.0104357207074
2026-04-11,3240.6613749779276
2026-04-12,3343.0951924477345
2026-04-13,3176.9819187297926
2026-04-14,3190.4727659715554
2026-04-15,3162.716151212309
2026-04-16,3147.265395643039
2026-04-17,3059.3505512386173
2026-04-18,3121.7076345566406
2026-04-19,3204.953132147082
2026-04-20,3115.1938522749106
2026-04-21,3093.81328710925
2026-04-22,3011.4373140651733
2026-04-23,3008.505625104649
2026-04-24,3044.728626466943
2026-04-25,3037.7522571265467
2026-04-26,2991.2059125399883
2026-04-27,3048.676963527077
2026-04-28,3093.9068479504385
2026-04-29,3075.283207970289
